,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
1423,Braamfontein,16, Seeff - Johannesburg Central,146,Apartment,0,March,7
1424,None,88, None,97,None,1,None,9
1425,None,88, None,97,None,1,None,9
1426,Parktown,99, Frankie Bell's Real Estate,47,Apartment,0,February,3
1427,Ridgeway,106, Infinity Homes & Rentals,62,Townhouse,2,March,7
1428,Craighall,23, Firzt Realty Company Firzt Realty Company,45,Apartment,0,January,4
1429,Sandringham,116, Amour Properties,11,Apartment,0,March,7
1430,Ormonde,96, Olympic Realtors,99,Townhouse,2,November,10
1431,Oaklands,92, ANGOR Property Specialist,4,Apartment,0,March,7
1432,Westdene,135, Sotheby's International Realty - Craighall,156,Apartment,0,April,0
1433,Killarney,60, Key Location,73,Apartment,0,February,3
1434,Lombardy East,67, Watson Properties,164,Apartment,0,January,4
1435,Bassonia,6, NV Homes,89,Townhouse,2,March,7
1436,None,88, None,97,None,1,None,9
1437,Mondeor,82, Seeff Southcrest,151,Apartment,0,March,7
1438,None,88, None,97,None,1,None,9
1439,None,88, None,97,None,1,None,9
1440,Melrose North,78, Vered Estates,163,Apartment,0,February,3
1441,None,88,  ,1,None,1,None,9
1442,Oaklands,92, Jawitz Johannesburg North,68,Apartment,0,March,7
1443,Bramley,18, You Realty,165,Apartment,0,April,0
1444,Houghton Estate,51, Amour Properties,11,Apartment,0,March,7
1445,None,88, None,97,None,1,None,9
1446,None,88, None,97,None,1,None,9
1447,Melrose Arch,75, Century 21 Sandton,20,Apartment,0,May,8
1448,Craighall Park,24, Trafalgar Property Management,160,Apartment,0,April,0
1449,None,88, None,97,None,1,None,9
1450,Johannesburg Central,53, IHS Property Management,60,Apartment,0,May,8
1451,Ridgeway,106, Harcourts Falcons,55,Apartment,0,April,0
1452,Bassonia,6, PropertyCloud,117,Townhouse,2,November,10
1453,Riviera,109, Russell Fisher Properties,143,Apartment,0,February,3
1454,None,88,  ,1,None,1,None,9
1455,None,88, None,97,None,1,None,9
1456,Melrose North,78, CP Inc Realtors,19,Apartment,0,February,3
1457,Lombardy East,67, Property.CoZa - Edenvale / Bedfordview,111,Apartment,0,March,7
1458,Lombardy East,67, Rowcor Properties Eleanor Jacobs,141,Apartment,0,April,0
1459,Rosebank,113, Rawson Properties Florida,128,Apartment,0,March,7
1460,None,88, None,97,None,1,None,9
1461,None,88, None,97,None,1,None,9
1462,Melrose,74, Sotheby's International Realty - Craighall,156,Apartment,0,January,4
1463,Winchester Hills,137, Allegiance Properties - JHB South,8,Apartment,0,December,2
1464,Birnam,13, Chas Everitt Hyde Park,23,Apartment,0,March,7
1465,Sandringham,116, Jawitz Bedfordview,67,Apartment,0,March,7
1466,Mulbarton,84, Fengari Properties,42,Apartment,0,November,10
1467,None,88, None,97,None,1,None,9
1468,Rosebank,113, Etchells & Young Property Brokers,38,Apartment,0,November,10
1469,None,88, None,97,None,1,None,9
1470,Highlands North,49, Framework Property Services,46,Apartment,0,April,0
1471,None,88,  ,1,None,1,None,9
1472,None,88, None,97,None,1,None,9
1473,Johannesburg Central,53, Trafalgar Property Management,160,Apartment,0,January,4
1474,Johannesburg Central,53, Trafalgar Property Management,160,Apartment,0,January,4
1475,None,88,Townhouse to rent in Houghton Estate - Johannesburg,196,None,1,None,9
1476,Johannesburg Central,53, Framework Property Services,46,Apartment,0,April,0
1477,Talboton,122, Jawitz Bedfordview,67,Apartment,0,March,7
1478,Riviera,109, Zareena Kara Properties,166,Apartment,0,April,0
1479,Highlands North,49, Rental,137,Apartment,0,April,0
1480,Ridgeway,106, ,0,Townhouse,2,None,9
1481,Melville,79, Rental,137,Apartment,0,February,3
1482,None,88, None,97,None,1,None,9
1483,Oakdene,91, Momentum International Realty - National Branch,87,Townhouse,2,March,7
1484,Marshalltown,72, Mafadi Property Management Office,84,Apartment,0,March,7
1485,Waverley,132, Jawitz Johannesburg North,68,Apartment,0,March,7
1486,Melrose North,78, Seeff Sandton,150,Apartment,0,March,7
1487,Yeoville,140, Trafalgar Property Management,160,Apartment,0,February,3
1488,None,88, None,97,None,1,None,9
1489,Waverley,132, You Realty,165,Apartment,0,March,7
1490,Maboneng,70, Lukhanyo Property,83,Apartment,0,March,7
1491,None,88, None,97,None,1,None,9
1492,Auckland Park,5, Skye Letting,154,Apartment,0,March,7
1493,Kensington,56, Rental,137,Apartment,0,March,7
1494,Highlands North,49, You Realty,165,Apartment,0,March,7
1495,Auckland Park,5, Infinite Property Network Dynamyx,61,Apartment,0,February,3
1496,Ormonde,96, Natrent Rentals,92,Townhouse,2,April,0
1497,"Roodepoort - Johannesburg; RE/MAX, Superior",112, ,0,Townhouse,2,None,9
1498,Braamfontein,16, Seeff - Johannesburg Central,146,Apartment,0,February,3
1499,None,88, None,97,None,1,None,9
1500,None,88, None,97,None,1,None,9
1501,None,88,  ,1,None,1,None,9
1502,None,88, None,97,None,1,None,9
1503,Bellevue,8, Trafalgar Property Management,160,Apartment,0,December,2
1504,Birdhaven,12, Sotheby's International Realty - Craighall,156,Apartment,0,May,8
1505,None,88, None,97,None,1,None,9
1506,Mulbarton,84, Lencar Exclusive Properties,78,Townhouse,2,April,0
1507,Melrose North,78, Rental,137,Apartment,0,April,0
1508,Braamfontein,16, Seeff - Johannesburg Central,146,Apartment,0,January,4
1509,None,88, None,97,None,1,None,9
1510,None,88,  ,1,None,1,None,9
1511,None,88, None,97,None,1,None,9
1512,None,88, None,97,None,1,None,9
1513,Rosebank,113, Fengari Properties,42,Apartment,0,March,7
1514,Mayfield Park,73, Natrent Rentals,92,Townhouse,2,April,0
1515,None,88, None,97,None,1,None,9
1516,Naturena,85, 2LetNow - JHB,2,Apartment,0,March,7
1517,Ormonde,96, Allegiance Properties - JHB South,8,Apartment,0,April,0
1518,Linmeyer,66, PropertyCloud,117,Townhouse,2,February,3
1519,Glenvista,43, Lencar Exclusive Properties,78,Townhouse,2,February,3
1520,Ormonde,96, Natrent Rentals,92,Townhouse,2,May,8
1521,Rosebank,113, Rowcor Properties Eleanor Jacobs,141,Apartment,0,March,7
1522,Norwood,90, Russell Fisher Properties,143,Apartment,0,April,0
1523,None,88, None,97,None,1,None,9
1524,None,88, None,97,None,1,None,9
1525,Rosebank,113, Etchells & Young Property Brokers,38,Apartment,0,March,7
1526,Houghton Estate,51, Etchells & Young Property Brokers,38,Apartment,0,February,3
1527,Houghton Estate,51, Frankie Bell's Real Estate,47,Townhouse,2,March,7
1528,None,88,  ,1,None,1,None,9
1529,None,88, None,97,None,1,None,9
1530,None,88, None,97,None,1,None,9
1531,None,88, None,97,None,1,None,9
1532,None,88, None,97,None,1,None,9
1533,Johannesburg Central,53, AFHCO Africa Housing Company,3,Apartment,0,March,7
1534,Parkhurst,98, Rental,137,Apartment,0,February,3
1535,Johannesburg Central,53, Rental,137,Apartment,0,March,7
1536,Riviera,109, Blue Living Properties,17,Apartment,0,May,8
1537,Melrose,74, Sotheby's International Realty - Craighall,156,Apartment,0,March,7
