,Extracted Bedrooms,Extracted area,Extracted Bathrooms,Extracted Area_JHB,Extracted listing agency,Extracted Type,Extracted Available Month,RandomForestRegressor,DecisionTreeRegressor,XGBRegressor,id
668,2.0,0.0,2.0,5,47,0,9,14760.47,7500.0,16414.209,20192272.0
669,0.5,46.0,0.5,13,57,0,9,5466.67,5000.0,9979.766,20192280.0
670,2.0,0.0,2.0,95,47,0,9,14888.26,16000.0,15858.833,20192284.0
671,1.0,0.0,1.0,13,57,0,9,10317.2,3900.0,12074.284,20192294.0
672,3.0,82.0,3.0,35,63,2,9,22583.3,55000.0,16611.996,20192295.0
673,2.0,51.0,2.0,1,2,0,9,15461.49,9000.0,15699.845,20192307.0
674,3.0,155.0,3.0,83,62,0,9,17986.4,7500.0,14833.004,20192311.0
675,2.0,105.0,2.0,39,16,0,9,14292.5,12500.0,12730.999,20192313.0
676,3.0,0.0,3.0,74,49,0,9,22814.0,27000.0,23254.36,20192314.0
677,1.0,0.0,1.0,21,78,0,9,5806.4,7000.0,5785.228,20192321.0
678,2.0,126.0,2.0,71,9,0,9,19065.9,9900.0,13904.237,20192329.0
679,1.0,55.0,1.0,74,47,0,9,9998.5,12500.0,11355.798,20192338.0
680,3.0,155.0,3.0,107,8,0,9,22760.2,14000.0,15271.317,20192347.0
681,1.0,68.0,1.0,4,28,0,9,8388.08,14500.0,8708.921,20192349.0
682,2.0,0.0,2.0,23,31,0,9,20800.48,14000.0,21130.336,20192359.0
683,1.0,55.0,1.0,74,47,0,9,9998.5,12500.0,11355.798,20192361.0
684,1.0,55.0,1.0,74,47,0,9,9998.5,12500.0,11355.798,20192363.0
685,2.0,80.0,2.0,74,47,0,9,15565.5,14500.0,13735.834,20192365.0
686,2.0,0.0,2.0,3,2,0,9,17032.48,7500.0,15160.279,20192366.0
687,1.0,50.0,1.0,74,47,0,9,9426.7,4000.0,11689.491,20192367.0
688,2.0,90.0,2.0,39,48,0,9,15528.5,14500.0,12822.384,20192372.0
689,1.0,50.0,1.0,74,47,0,9,9426.7,4000.0,11689.491,20192373.0
690,1.0,50.0,1.0,74,47,0,9,9426.7,4000.0,11689.491,20192380.0
691,1.0,122.0,1.0,28,62,0,9,14667.0,12000.0,21104.295,20192385.0
692,0.5,50.0,0.5,16,75,0,9,5344.3,5000.0,5561.8105,20192388.0
693,2.0,50.0,2.0,22,82,0,9,13750.44,9000.0,7479.72,20192393.0
694,2.0,0.0,2.0,61,2,0,9,19599.0,17000.0,14367.702,20192399.0
695,2.0,0.0,2.0,3,2,0,9,17032.48,7500.0,15160.279,20192400.0
696,3.0,128.0,3.0,56,62,0,9,15936.79,12000.0,10996.414,20192402.0
697,3.0,160.0,3.0,51,48,0,9,21803.7,12000.0,22036.863,20192403.0
698,1.0,53.0,1.0,59,13,0,9,10972.0,9950.0,6854.6675,20192407.0
699,2.0,0.0,2.0,67,2,0,9,18719.0,17000.0,13849.795,20192408.0
700,2.0,0.0,2.0,29,94,0,9,14300.44,9000.0,8391.233,20192417.0
701,2.0,102.0,2.0,47,13,0,9,13974.4,12500.0,10414.417,20192420.0
702,3.0,212.0,3.0,39,62,0,9,21519.4,10000.0,25702.59,20192428.0
703,2.0,0.0,2.0,67,2,0,9,18719.0,17000.0,13849.795,20192441.0
704,2.0,0.0,2.0,113,47,0,9,20376.0,26000.0,24223.488,20192446.0
705,2.0,0.0,2.0,80,54,0,9,15115.49,32000.0,13309.552,20192448.0
706,2.0,164.0,2.0,47,75,0,9,17692.49,30000.0,15648.105,20192449.0
707,2.0,0.0,2.0,57,20,0,9,16768.0,22500.0,17178.494,20192451.0
708,2.0,0.0,2.0,3,2,0,9,17032.48,7500.0,15160.279,20192459.0
709,2.0,117.0,2.0,28,62,0,9,17854.0,9000.0,25712.33,20192474.0
710,2.0,1.0,2.0,83,55,0,9,12775.49,10800.0,13031.049,20192475.0
711,3.0,246.0,3.0,56,62,0,9,20279.0,12000.0,22047.773,20192478.0
712,2.0,148.0,2.0,39,101,0,9,17064.96,19500.0,14348.829,20192485.0
713,3.0,0.0,3.0,83,23,0,9,19499.4,7500.0,20252.115,20192488.0
714,2.0,96.0,2.0,23,13,0,9,16333.98,14000.0,17662.04,20192503.0
715,1.0,0.0,1.0,4,55,0,9,10815.0,3900.0,10171.216,20192508.0
716,2.0,85.0,2.0,74,47,0,9,15524.5,14500.0,13511.738,20192510.0
717,1.0,0.0,1.0,25,21,0,9,10607.0,6200.0,5857.6973,20192512.0
718,1.0,0.0,1.0,44,47,0,9,10582.09,5000.0,8509.83,20192517.0
719,1.0,0.0,1.0,43,53,0,9,12278.49,19500.0,8808.1455,20192522.0
720,1.0,0.0,1.0,81,84,0,9,6567.8,10535.0,6378.7837,20192526.0
721,2.0,146.0,2.0,94,62,0,9,14833.25,30000.0,14574.175,20192528.0
722,2.0,180.0,2.0,39,62,0,9,19799.0,30000.0,17047.238,20192530.0
723,2.0,62.0,2.0,27,62,0,9,18282.5,9000.0,25219.148,20192532.0
724,2.0,0.0,2.0,1,47,0,9,14843.97,9000.0,14088.859,20192533.0
725,2.0,0.0,2.0,73,102,0,9,12659.5,17000.0,10523.046,20192538.0
726,3.0,203.0,3.0,59,62,0,9,21508.69,12000.0,23644.752,20192550.0
727,2.0,0.0,2.0,91,47,0,9,13803.0,8000.0,16294.688,20192564.0
728,2.0,85.0,2.0,74,47,0,9,15524.5,14500.0,13511.738,20192565.0
729,2.0,0.0,2.0,46,2,0,9,18145.0,12500.0,16469.244,20192578.0
730,3.0,190.0,3.0,47,13,0,9,23028.6,12000.0,20540.145,20192580.0
731,2.0,0.0,2.0,11,47,0,9,16777.9,14000.0,14358.048,20192589.0
732,2.0,93.0,2.0,45,98,0,9,12566.0,9000.0,8976.823,20192594.0
733,1.0,92.0,1.0,47,75,0,9,10329.52,14000.0,5273.0166,20192597.0
734,2.0,165.0,2.0,47,31,0,9,19647.0,30000.0,17170.73,20192599.0
735,2.0,0.0,2.0,46,2,0,9,18145.0,12500.0,16469.244,20192604.0
736,2.0,152.0,2.0,58,13,0,9,20743.39,30000.0,15981.277,20192621.0
737,2.0,6.0,2.0,27,62,0,9,21326.47,9000.0,26853.994,20192622.0
738,2.0,59.0,2.0,112,59,2,9,15134.5,13000.0,15010.268,20192651.0
739,2.0,0.0,2.0,56,24,0,9,16752.0,11000.0,16753.873,20192655.0
740,1.0,0.0,1.0,41,44,2,9,12088.5,10000.0,8721.58,20192661.0
741,1.0,0.0,1.0,41,3,0,9,5404.87,4898.0,4335.61,20192668.0
742,2.0,136.0,2.0,57,61,0,9,15135.96,10000.0,12491.698,20192673.0
743,3.0,0.0,3.0,11,47,0,9,19333.42,28000.0,21327.209,20192685.0
744,1.0,80.0,1.0,105,47,0,9,8688.95,6250.0,7431.451,20192693.0
745,2.0,80.0,2.0,105,47,0,9,14575.5,16000.0,11525.037,20192694.0
746,0.5,0.0,0.5,41,3,0,9,3910.98,3500.0,3715.6477,20192695.0
747,2.0,0.0,2.0,56,24,0,9,16752.0,11000.0,16753.873,20192696.0
748,2.0,0.0,2.0,3,2,0,9,17032.48,7500.0,15160.279,20192698.0
749,2.0,90.0,2.0,58,13,0,9,15428.84,17000.0,11633.014,20192701.0
750,1.0,0.0,1.0,40,44,2,9,13031.9,10000.0,8721.58,20192702.0
751,3.0,0.0,3.0,47,23,0,9,20781.7,12000.0,19290.307,20192708.0
752,2.0,0.0,2.0,11,47,0,9,16777.9,14000.0,14358.048,20192714.0
753,2.0,0.0,2.0,41,2,0,9,18918.0,12500.0,16753.598,20192727.0
754,3.0,91.0,3.0,33,75,0,9,15985.5,10000.0,10421.241,20192729.0
755,1.0,0.0,1.0,23,84,0,9,4661.2,5400.0,7314.029,20192740.0
756,2.0,115.0,2.0,57,61,0,9,16284.98,10000.0,14889.858,20192749.0
757,2.0,0.0,2.0,13,3,0,9,18893.46,14000.0,19165.475,20192755.0
758,4.0,0.0,4.0,79,4,2,9,46520.0,40000.0,37876.477,20192756.0
759,3.0,788.0,3.0,34,60,0,9,20022.1,45000.0,25027.354,20192781.0
760,2.0,118.0,2.0,57,61,0,9,15074.98,10000.0,14788.485,20192790.0
761,1.0,0.0,1.0,41,3,0,9,5404.87,4898.0,4335.61,20192791.0
762,2.0,122.0,2.0,57,61,0,9,15583.47,10000.0,15826.955,20192794.0
763,2.0,76.0,2.0,47,62,0,9,15184.0,9000.0,10257.188,20192806.0
764,2.0,0.0,2.0,11,47,0,9,16777.9,14000.0,14358.048,20192812.0
765,2.0,0.0,2.0,11,47,0,9,16777.9,14000.0,14358.048,20192813.0
766,2.0,143.0,2.0,39,62,0,9,16571.99,30000.0,17325.816,20192815.0
767,2.0,0.0,2.0,39,8,0,9,18873.9,12500.0,17117.775,20192816.0
768,2.0,171.0,2.0,39,62,0,9,20379.0,30000.0,17061.936,20192819.0
769,3.0,178.0,3.0,39,5,0,9,28524.6,10000.0,33439.973,20192844.0
770,2.0,0.0,2.0,29,84,0,9,14451.94,9000.0,7803.533,20192849.0
771,1.0,0.0,1.0,95,47,0,9,11201.4,4400.0,9352.667,20192853.0
772,1.0,0.0,1.0,105,47,0,9,11093.95,4400.0,9721.833,20192860.0
773,2.0,0.0,2.0,90,84,2,9,8670.58,8200.0,9033.039,20192865.0
774,1.0,109.0,1.0,57,61,0,9,9949.7,1790.0,7931.0464,20192867.0
775,2.0,112.0,2.0,94,13,0,9,15830.66,17000.0,13843.666,20192871.0
776,0.5,46.0,0.5,13,57,0,9,5466.67,5000.0,9979.766,20192872.0
777,2.0,0.0,2.0,113,47,0,9,20376.0,26000.0,24223.488,20192876.0
778,1.0,105.0,1.0,57,97,0,9,11960.0,17000.0,9526.994,20192883.0
779,2.0,118.0,2.0,57,61,0,9,15074.98,10000.0,14788.485,20192888.0
780,1.0,65.0,1.0,95,47,0,9,7345.9,12500.0,6202.8535,20192894.0
781,1.0,0.0,1.0,41,3,0,9,5404.87,4898.0,4335.61,20192896.0
782,1.0,80.0,1.0,95,47,0,9,8034.95,6250.0,7184.17,20192897.0
783,2.0,1.0,2.0,47,55,0,9,15219.49,9000.0,13010.702,20192909.0
784,2.0,0.0,2.0,31,44,2,9,23657.5,16000.0,23257.414,20192911.0
785,2.0,0.0,2.0,4,55,0,9,14110.95,7500.0,16613.416,20192955.0
786,2.0,50.0,2.0,95,47,0,9,14270.26,16000.0,13264.639,20192962.0
787,3.0,0.0,3.0,75,30,0,9,23122.4,27000.0,26694.682,20192964.0
788,3.0,281.0,3.0,28,4,2,9,28077.5,55000.0,44513.78,20192966.0
789,2.0,0.0,2.0,66,19,2,9,19044.3,40000.0,14705.575,20192970.0
790,1.0,0.0,1.0,52,47,0,9,12667.4,4400.0,8344.601,20192972.0
791,1.0,0.0,1.0,52,47,0,9,12667.4,4400.0,8344.601,20192973.0
792,2.0,50.0,2.0,95,47,0,9,14270.26,16000.0,13264.639,20192976.0
793,2.0,0.0,2.0,35,47,0,9,18561.49,25000.0,18950.398,20192989.0
794,2.0,100.0,2.0,36,47,0,9,15327.5,20000.0,15584.429,20192990.0
795,0.5,30.0,0.5,13,75,0,9,4939.965,5000.0,6828.3916,20192997.0
