,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
149,None,72, None,58,None,1,None,9
150,None,72,Apartment / flat to rent in Orchards - Johannesburg,111,None,1,None,9
151,Auckland Park,4, National Letting - Johannesburg,55,Apartment,0,November,10
152,Glenhazel,34, You Realty,100,Apartment,0,February,3
153,None,72,  ,1,None,1,None,9
154,Melrose Arch,57, Rental,83,Apartment,0,March,7
155,Haddon,36, Trafalgar Property Management,93,Apartment,0,April,0
156,Alan Manor,1, Rental,83,Apartment,0,March,7
157,Johannesburg Central,41, Framework Property Services,35,Apartment,0,None,9
158,None,72, None,58,None,1,None,9
159,Birnam,10, Property.CoZa - Fourways,68,Apartment,0,March,7
160,None,72, None,58,None,1,None,9
161,None,72, None,58,None,1,None,9
162,None,72,  ,1,None,1,None,9
163,None,72,Townhouse to rent in Houghton Estate - Johannesburg,117,None,1,None,9
164,Rosebank,94, Chas Everitt Hyde Park,20,Apartment,0,November,10
165,None,72, None,58,None,1,None,9
166,Hillbrow,38, Mafadi Property Management Office,52,Apartment,0,March,7
167,None,72,  ,1,None,1,None,9
168,Rosebank,94, RE/MAX Advantage,75,Apartment,0,April,0
169,None,72, None,58,None,1,None,9
170,Bosmont,12, Rental,83,Apartment,0,March,7
171,Craighall,22, Frankie Bell's Real Estate,36,Apartment,0,April,0
172,Houghton Estate,39, Alan Becker Properties,5,Apartment,0,August,1
173,Rosebank,94, Renprop Residential,81,Apartment,0,May,8
174,Melrose,56, Tyson Properties Fourways,94,Apartment,0,June,6
175,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,February,3
176,None,72, None,58,None,1,None,9
177,None,72, None,58,None,1,None,9
178,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,February,3
179,Melrose,56, Silver Property Group,88,Apartment,0,February,3
180,Linmeyer,52, Lencar Exclusive Properties,50,Townhouse,2,February,3
181,None,72,  ,1,None,1,None,9
182,Killarney,47, Rental,83,Apartment,0,April,0
183,Craighall Park,23, Silver Property Group,88,Apartment,0,November,10
184,None,72, None,58,None,1,None,9
185,Johannesburg Central,41, Trafalgar Property Management,93,Apartment,0,January,4
186,Glenvista,35, Lencar Exclusive Properties,50,Apartment,0,January,4
187,None,72,  ,1,None,1,None,9
188,None,72,  ,1,None,1,None,9
189,Mondeor,63, CSi Property Group,17,Apartment,0,April,0
190,Dunkeld West,28, You Realty,100,Apartment,0,April,0
191,Melrose,56, Russell Fisher Properties,85,Apartment,0,February,3
192,Kensington,45, Rental,83,Apartment,0,March,7
193,None,72,  ,1,None,1,None,9
194,Berea,7, Trafalgar Property Management,93,Apartment,0,February,3
195,Liefde En Vrede,49, Lencar Exclusive Properties,50,Townhouse,2,May,8
196,None,72,Apartment / flat to rent in Kensington - Johannesburg,110,None,1,None,9
197,Parktown North,84, Russell Fisher Properties,85,Apartment,0,March,7
198,Crosby,24, Rental,83,Apartment,0,February,3
199,None,72,Apartment / flat to rent in Bramley - Johannesburg,105,None,1,None,9
200,Rosebank,94, Chas Everitt Hyde Park,20,Apartment,0,February,3
201,Yeoville,114, Trafalgar Property Management,93,Apartment,0,April,0
202,Bramley,16, Engel & Volkers Hyde Park,30,Apartment,0,January,4
203,Craighall Park,23, Trafalgar Property Management,93,Apartment,0,January,4
204,None,72,  ,1,None,1,None,9
205,Maboneng,53, Jawitz Johannesburg North,43,Apartment,0,April,0
206,None,72, None,58,None,1,None,9
207,Melrose North,59, Rental,83,Apartment,0,February,3
208,Parkwood,86, Vered Estates,97,Apartment,0,February,3
209,Waverley,109, Adrienne Hersch Properties,4,Apartment,0,January,4
210,Glenvista,35, Lencar Exclusive Properties,50,Townhouse,2,June,6
211,Waverley,109, Chas Everitt Hyde Park,20,Townhouse,2,November,10
212,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,December,2
213,Hillbrow,38, Mamela Estates,53,Apartment,0,December,2
214,Yeoville,114, Mafadi Property Management Office,52,Apartment,0,March,7
215,South Hills,100, AFHCO Africa Housing Company,3,Apartment,0,November,10
216,None,72, None,58,None,1,None,9
217,None,72,Apartment / flat to rent in Sandringham - Johannesburg,113,None,1,None,9
218,Houghton Estate,39, Engel & Volkers Hyde Park,30,Apartment,0,February,3
219,Melrose Arch,57, Frankie Bell's Real Estate,36,Apartment,0,April,0
220,Meredale,61, CSi Property Group,17,Townhouse,2,April,0
221,Malvern,54, Trafalgar Property Management,93,Apartment,0,January,4
222,Johannesburg Central,41, IHS Property Management,39,Apartment,0,May,8
223,None,72, None,58,None,1,None,9
224,Rosebank,94, Jawitz Johannesburg North,43,Apartment,0,March,7
225,Linksfield,51, Jawitz Bedfordview,41,Apartment,0,March,7
226,None,72, None,58,None,1,None,9
227,Craighall,22, Engel & Volkers Hyde Park,30,Apartment,0,April,0
228,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,January,4
229,None,72,  ,1,None,1,None,9
230,Oaklands,75, Chas Everitt Hyde Park,20,Apartment,0,January,4
231,"Liefde En Vrede - Johannesburg; RE/MAX, Superior",50, ,0,Apartment,0,None,9
232,Johannesburg Central,41, Gaylin Estates,37,Townhouse,2,January,4
233,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,February,3
234,Maboneng,53, Lukhanyo Property,51,Apartment,0,March,7
235,Houghton Estate,39, Silver Property Group,88,Apartment,0,September,12
236,Melrose North,59, Rental,83,Townhouse,2,April,0
237,Houghton Estate,39, Firzt Realty Company Firzt Realty Company,34,Apartment,0,February,3
238,None,72, Beds,12,None,1,None,9
239,None,72, None,58,None,1,None,9
240,None,72, None,58,None,1,None,9
241,Marshalltown,55, Trafalgar Property Management,93,Apartment,0,February,3
242,Melrose Arch,57, CLE Properties,15,Apartment,0,February,3
243,None,72, None,58,None,1,None,9
244,"Forest Hill - Johannesburg; RE/MAX, Superior",32, ,0,Apartment,0,None,9
245,South Hills,100, ,0,Apartment,0,None,9
246,Albertville,2, ,0,Apartment,0,None,9
247,Oaklands,75, Engel & Volkers Hyde Park,30,Apartment,0,March,7
248,None,72,  ,1,None,1,None,9
249,Ormonde,80, PropertyCloud,72,Townhouse,2,April,0
250,None,72, None,58,None,1,None,9
251,None,72, None,58,None,1,None,9
252,None,72, None,58,None,1,None,9
253,Newtown,71, Seeff - Johannesburg Central,86,Apartment,0,December,2
254,None,72,  ,1,None,1,None,9
255,Berea,7, Mamela Estates,53,Apartment,0,November,10
256,Winchester Hills,113, ,0,Townhouse,2,None,9
257,Maboneng,53, Century 21 Alberton,18,Apartment,0,July,5
258,Roodepoort,92, Rental,83,Apartment,0,March,7
259,Melville,60, ,0,Apartment,0,None,9
260,"Liefde En Vrede - Johannesburg; RE/MAX, Superior",50, ,0,Apartment,0,None,9
261,None,72,  ,1,None,1,None,9
262,None,72, None,58,None,1,None,9
263,Johannesburg Central,41, Redcon Property Management,80,Apartment,0,May,8
264,Braamfontein,13, Seeff - Johannesburg Central,86,Apartment,0,February,3
265,Houghton Estate,39, Zareena Kara Properties,101,Apartment,0,April,0
266,Sydenham,102, Rowcor Properties Eleanor Jacobs,84,Apartment,0,April,0
267,Dunkeld West,28, Infinite Property Network Dynamyx,40,Apartment,0,January,4
268,Hillbrow,38, Framework Property Services,35,Apartment,0,April,0
269,Houghton Estate,39, Firzt Realty Company Firzt Realty Company,34,Apartment,0,January,4
270,None,72,Apartment / flat to rent in Orchards - Johannesburg,111,None,1,None,9
271,None,72, None,58,None,1,None,9
272,Oakdene,74, IHS Property Management,39,Apartment,0,April,0
273,None,72,  ,1,None,1,None,9
274,None,72, None,58,None,1,None,9
275,Mulbarton,66, Allegiance Properties - JHB South,6,Apartment,0,November,10
276,Oaklands,75, Firzt Realty Company Firzt Realty Company,34,Townhouse,2,December,2
277,Johannesburg Central,41, Trafalgar Property Management,93,Apartment,0,January,4
278,Orange Grove,78, Jawitz Bedfordview,41,Apartment,0,November,10
279,Kensington,45, Trafalgar Property Management,93,Apartment,0,April,0
280,Mondeor,63, 2LetNow - JHB,2,Apartment,0,March,7
281,Auckland Park,4, Skye Letting,89,Apartment,0,February,3
282,None,72,Apartment / flat to rent in Robertsham - Johannesburg,112,None,1,None,9
283,None,72, None,58,None,1,None,9
284,Saxonwold,99, Firzt Realty Company Firzt Realty Company,34,Apartment,0,December,2
285,Norwood,73, Rental,83,Apartment,0,March,7
286,Johannesburg Central,41, You Realty,100,Apartment,0,February,3
287,"Turffontein - Johannesburg; RE/MAX, Superior",106, ,0,Apartment,0,None,9
288,Melrose North,59, You Realty,100,Apartment,0,April,0
289,Marshalltown,55, Redcon Property Management,80,Apartment,0,May,8
290,Rosebank,94, Chas Everitt Hyde Park,20,Apartment,0,March,7
291,Ormonde,80, Allegiance Properties - JHB South,6,Townhouse,2,March,7
292,None,72, None,58,None,1,None,9
293,Houghton Estate,39, Firzt Realty Company Firzt Realty Company,34,Apartment,0,January,4
294,None,72,  ,1,None,1,None,9
295,Richmond,88, National Letting - Johannesburg,55,Apartment,0,November,10
296,None,72, None,58,None,1,None,9
297,Mondeor,63, PropertyCloud,72,Townhouse,2,February,3
298,None,72,  ,1,None,1,None,9
299,Waverley,109, Adrienne Hersch Properties,4,Apartment,0,January,4
300,Johannesburg Central,41, AFHCO Africa Housing Company,3,Apartment,0,February,3
301,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,March,7
302,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,February,3
303,None,72, None,58,None,1,None,9
304,Booysens,11, Redcon Property Management,80,Apartment,0,October,11
305,None,72, None,58,None,1,None,9
306,Mondeor,63, Rental,83,Townhouse,2,March,7
307,Killarney,47, Russell Fisher Properties,85,Apartment,0,March,7
308,Johannesburg Central,41, Redcon Property Management,80,Apartment,0,April,0
309,Waverley,109, CP Inc Realtors,16,Apartment,0,February,3
310,None,72, None,58,None,1,None,9
311,Orange Grove,78, Jawitz Bedfordview,41,Apartment,0,March,7
312,Dunkeld West,28, Kent Gush Properties,45,Apartment,0,February,3
313,None,72, None,58,None,1,None,9
314,None,72,Apartment / flat to rent in Johannesburg Central - Johannesburg,109,None,1,None,9
315,None,72,Townhouse to rent in Auckland Park - Johannesburg,115,None,1,None,9
316,Observatory,76, Sotheby's International Realty - Craighall,90,Apartment,0,April,0
317,Auckland Park,4, Skye Letting,89,Apartment,0,March,7
318,Ophirton,77, Redcon Property Management,80,Apartment,0,May,8
319,None,72,  ,1,None,1,None,9
320,Craighall,22, Firzt Realty Company Firzt Realty Company,34,Apartment,0,January,4
321,None,72, Beds,12,None,1,None,9
322,None,72, None,58,None,1,None,9
323,Rosebank,94, Frankie Bell's Real Estate,36,Apartment,0,April,0
324,None,72,Apartment / flat to rent in Braamfontein - Johannesburg,104,None,1,None,9
325,None,72,  ,1,None,1,None,9
326,None,72, None,58,None,1,None,9
327,Houghton Estate,39, Infinite Property Network Dynamyx,40,Apartment,0,April,0
328,Ridgeway,89, Property.CoZa - Sandton,70,Townhouse,2,November,10
329,Hillbrow,38, Trafalgar Property Management,93,Apartment,0,January,4
330,Rosebank,94, Chas Everitt Hyde Park,20,Apartment,0,November,10
331,Highlands North,37, Trafalgar Property Management,93,Apartment,0,March,7
332,Berea,7, iThemba Property,103,Apartment,0,April,0
333,Bellevue,6, Framework Property Services,35,Apartment,0,April,0
334,None,72, None,58,None,1,None,9
335,Auckland Park,4, Gaylin Estates,37,Apartment,0,March,7
336,None,72,  ,1,None,1,None,9
337,Ormonde,80, Astrodon Real Estate Rentals,10,Apartment,0,May,8
338,Parkhurst,82, Engel & Volkers Hyde Park,30,Apartment,0,December,2
339,None,72,  ,1,None,1,None,9
340,Sandringham,98, Jawitz Bedfordview,41,Townhouse,2,April,0
341,Rosebank,94, Tyson Properties Fourways,94,Apartment,0,June,6
342,Auckland Park,4, Skye Letting,89,Apartment,0,February,3
343,None,72,  ,1,None,1,None,9
344,Norwood,73, Rental,83,Apartment,0,January,4
345,Auckland Park,4, Skye Letting,89,Apartment,0,February,3
346,Sydenham,102, Rental,83,Apartment,0,March,7
347,Dunkeld West,28, Jawitz Johannesburg North,43,Apartment,0,April,0
348,Winchester Hills,113, Xoliswa Tini Properties - Gauteng,99,Apartment,0,September,12
349,Houghton Estate,39, CP Inc Realtors,16,Apartment,0,March,7
350,Rosebank,94, Etchells & Young Property Brokers,32,Apartment,0,October,11
351,South Hills,100, ,0,Apartment,0,None,9
352,None,72, None,58,None,1,None,9
353,Berea,7, Trafalgar Property Management,93,Apartment,0,March,7
354,None,72, None,58,None,1,None,9
355,Winchester Hills,113, Allegiance Properties - JHB South,6,Townhouse,2,February,3
356,Park Central,81, Rowcor Properties Eleanor Jacobs,84,Apartment,0,March,7
357,None,72, Beds,12,None,1,None,9
358,None,72,  ,1,None,1,None,9
359,Turffontein,105, Landstar Property Solutions,47,Apartment,0,October,11
360,Moffat View,62, Natrent Rentals,56,Townhouse,2,May,8
361,None,72, None,58,None,1,None,9
362,Berea,7, Trafalgar Property Management,93,Apartment,0,March,7
363,Montgomery Park,65, Property Runners and Rent Runners Pty Ltd,66,Apartment,0,May,8
364,Berea,7, Trafalgar Property Management,93,Apartment,0,March,7
365,None,72, None,58,None,1,None,9
366,Berea,7, Mamela Estates,53,Apartment,0,January,4
367,None,72, None,58,None,1,None,9
368,Killarney,47, You Realty,100,Apartment,0,January,4
369,None,72, Beds,12,None,1,None,9
370,None,72, None,58,None,1,None,9
371,Parkview,85, Zareena Kara Properties,101,Apartment,0,March,7
372,Johannesburg Central,41, AFHCO Africa Housing Company,3,Apartment,0,October,11
373,Craighall Park,23, Infinite Property Network Dynamyx,40,Apartment,0,May,8
374,Oakdene,74, ,0,Townhouse,2,None,9
375,Rosebank,94, Silver Property Group,88,Apartment,0,November,10
376,None,72, None,58,None,1,None,9
377,Saxonwold,99, Chas Everitt Hyde Park,20,Apartment,0,November,10
378,None,72, None,58,None,1,None,9
379,Auckland Park,4, Skye Letting,89,Townhouse,2,February,3
380,Johannesburg Central,41, Trafalgar Property Management,93,Apartment,0,January,4
381,Rosebank,94, Chas Everitt Hyde Park,20,Apartment,0,October,11
382,None,72, None,58,None,1,None,9
383,Maboneng,53, Clipper Properties,23,Apartment,0,November,10
384,South Hills,100, AFHCO Africa Housing Company,3,Apartment,0,April,0
385,None,72,  ,1,None,1,None,9
386,Newlands,70, Trafalgar Property Management,93,Apartment,0,March,7
387,Norwood,73, Zareena Kara Properties,101,Apartment,0,January,4
388,Maboneng,53, Jawitz Bedfordview,41,Apartment,0,November,10
389,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,April,0
390,Killarney,47, Vered Estates,97,Apartment,0,March,7
391,Berea,7, iThemba Property,103,Apartment,0,April,0
392,Johannesburg Central,41, Sotheby's International Realty - Craighall,90,Apartment,0,September,12
393,Johannesburg Central,41, AFHCO Africa Housing Company,3,Apartment,0,March,7
394,Kensington,45, Rental,83,Apartment,0,February,3
395,Johannesburg Central,41, Trafalgar Property Management,93,Apartment,0,January,4
396,South Hills,100, AFHCO Africa Housing Company,3,Apartment,0,April,0
397,Glenvista,35, Dormehl Phalane Property Group Meyersdal,27,Apartment,0,January,4
398,Craighall,22, Rent - A - Property,82,Apartment,0,April,0
399,Fairmount,30, Jawitz Bedfordview,41,Apartment,0,March,7
400,Houghton Estate,39, Trafalgar Property Management,93,Apartment,0,January,4
401,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,March,7
402,Killarney,47, CP Inc Realtors,16,Apartment,0,February,3
403,None,72,  ,1,None,1,None,9
